SpellID,name,castingtime,CastOnYou,CastOnOther,Expired,classes,desc1,desc2,manacost,recasttime,resist
4,Summon Waterstone,4,,,,MAG/17,Summon Item: Summoned: Waterstone,,40,1.5,Unresistable
6,Ignite Blood,3,Your blood ignites.,'s blood ignites.,Your blood cools.,SHD/61 NEC/47,Decrease Hitpoints by 30 per tick. Max: 125 per tick,,218,1.5,Fire
7,Hymn of Restoration,3,Your wounds begin to heal.,,Your wounds stop healing.,BRD/6,Increase Hitpoints by 1 per tick.  Max: None. Calculates to current max level,,0,0,Unresistable
9,Superior Healing,3.5,You feel much better., feels much better.,,CLR/30 PAL/48 DRU/44 SHM/45,Increase Hitpoints by 200. Max: 600,,185,1.5,Unresistable
10,Augmentation,5,You feel your body pulse with energy.,'s body pulses with energy.,The pulsing energy fades.,ENC/28,Increase Attack Speed by 15% (L28) to 43% (L53) ,Increase AGI by 5 (L28) to 35 (L51) ,90,1.5,Unresistable
11,Holy Armor,2,You feel the favor of the gods upon you., feels the favor of the gods upon them.,You no longer feel blessed.,CLR/1 PAL/15,,,20,1.5,Unresistable
12,Healing,2.5,You feel much better., feels much better.,,CLR/10 PAL/27 RNG/32 DRU/19 SHM/19 BST/28,Increase Hitpoints by 95. Max: 175,,65,1.5,Unresistable
13,Complete Heal,10,You are completely healed., is completely healed.,,CLR/39,Increase Hitpoints by 7500.  Max: None. Calculates to current max level.,,400,1.5,Unresistable
14,Strike,1.5,You have been struck., is struck.,,CLR/1,Decrease Hitpoints by 8. Max: 10,,7,1.5,Magic
15,Greater Healing,3,You feel much better., feels much better.,,CLR/20 PAL/36 RNG/44 DRU/29 SHM/29 BST/38,Increase Hitpoints by 140. Max: 350,,115,1.5,Unresistable
16,Smite,2.5,You have been smitten., has been smitten.,,CLR/14,Decrease Hitpoints by 60. Max: 88,,43,1.5,Magic
17,Light Healing,2,You feel better., feels better.,,CLR/4 PAL/12 RNG/20 DRU/9 SHM/9 BST/18,Increase Hitpoints by 35. Max: 65,,28,1.5,Unresistable
18,Guard,3,You feel the favor of the gods upon you., feels the favor of the gods upon them.,You no longer feel blessed.,CLR/25 PAL/39,,,80,1.5,Unresistable
19,Armor of Faith,6,You feel the favor of the gods upon you., feels the favor of the gods upon them.,You no longer feel blessed.,CLR/35 PAL/48,,,150,1.5,Unresistable
20,Shield of Words,8,You feel the favor of the gods upon you., feels the favor of the gods upon them.,You no longer feel blessed.,CLR/45 PAL/60,,,300,1.5,Unresistable
21,Berserker Strength,3,Your muscles bulge with berserker strength.,'s muscles bulge with berserker strength.,You feel your agility return.,ENC/19,Increase STR by 10 (L19) to 35 (L31) ,Increase Absorb Damage by 20 (L19) to 77 (L115) ,45,8,Unresistable
22,Force Snap,2.5,You have been force struck., has been force struck.,,WIZ/17,Decrease Hitpoints by 150. Max: 252,Stun (1.00 sec),69,13,Magic
23,Force Strike,4,You have been force struck., has been force struck.,,WIZ/41,Decrease Hitpoints by 325. Max: 625,Stun (1.00 sec),200,12,Magic
24,Strip Enchantment,3.5,You feel very dispelled., feels very dispelled.,,ENC/22,Cancel Magic (1),Cancel Magic (1),70,5,Magic
25,Pillage Enchantment,3.5,You feel very dispelled., feels very dispelled.,,ENC/42,Cancel Magic (4),Cancel Magic (4),70,5,Magic
26,Skin like Wood,3,Your skin turns hard as wood.,'s skin turns hard as wood.,Your skin returns to normal.,RNG/7 DRU/1,Increase AC by 3 (L1) to 7 (L11) ,Increase Max Hitpoints by 11 (L1) to 30 (L11) ,10,6,Unresistable
27,Pogonip,3.5,You are sheathed in ice crystals., is sheathed in ice crystals.,,DRU/22,Decrease Hitpoints by 62.,,125,12,Cold
28,Avalanche,5,You are entombed in ice., is entombed in ice.,,DRU/37,Decrease Hitpoints by 125.  Max: None. Calculates to current max level.,,200,12,Cold
29,Ice,5,You are encased in frost., is encased in frost.,,DRU/47,Decrease HP when cast by 373 (L47) to 908 (L57) ,,142,1.5,Cold
31,Scourge,3,You feel feverish.," sweats and shivers, looking feverish.",Your fever has broken.,SHM/31 NEC/35,Increase Disease Counter by 4 ,Decrease Hitpoints by 73 per tick. Max: 98 per tick,199,1.5,Disease
32,Plague,3,You feel feverish.," sweats and shivers, looking feverish.",Your fever has broken.,SHM/49 NEC/52 BST/65,Increase Disease Counter by 9 ,Decrease Hitpoints by 97 per tick. Max: 156 per tick,308,1.5,Disease
33,Brilliance,4.25,Your mind clears., gains a flash of insight.,Your brilliance fades.,ENC/41,Increase WIS by 1 (L41) to 13 (L89) ,,125,1.5,Unresistable
34,Superior Camouflage,5,You vanish., fades away.,You appear.,RNG/47 DRU/18,Invisibility,,40,1.5,Unresistable
35,Bind Affinity,6,You feel yourself bind to the area., is bound to the area.,,CLR/10 DRU/12 SHM/14 NEC/12 WIZ/12 MAG/12 ENC/12,Bind Affinity,,100,1.5,Unresistable
36,Gate,5,, fades away.,,CLR/5 DRU/5 SHM/5 NEC/4 WIZ/4 MAG/4 ENC/4,Gate,,70,8,Unresistable
37,Hammer of Striking,6,A magical hammer appears in your hand.,,,CLR/20 PAL/23,Summon Item: Summoned: Hammer of Striking,,100,12,Unresistable
38,Lightning Bolt,2.5,Your body spasms as the lightning bolt arcs through you.,'s body spasms as the lightning bolt arcs through them.,,WIZ/16,Decrease Hitpoints by 82. Max: 157,Stun (1.00 sec),53,1.5,Magic
39,Quickness,3.1,You feel much faster., feels much faster.,Your speed returns to normal.,SHM/26 ENC/15,Increase Attack Speed by 20% (L15) to 50% (L21) ,,80,1.5,Unresistable
40,Strengthen,2,You feel stronger., looks stronger.,Your strength fades.,SHM/1 ENC/1 BST/14,Increase STR by 5 (L1) to 14 (L7) ,,10,1.5,Unresistable
41,Weaken,1.5,You feel weaker., weakens.,Your weakness fades.,ENC/1,Decrease STR by 10 (L1) to 25 (L11) ,,8,1.5,Magic
42,Invisibility,5,You vanish., fades away.,You appear.,SHM/27 WIZ/16 MAG/8 ENC/4 BST/43,Invisibility,,30,1.5,Unresistable
43,Yaulp II,0.5,You feel a surge of strength as you let forth a mighty yaulp., lets loose a mighty yaulp.,Your surge of strength fades.,CLR/16 PAL/38,,,1,18,Unresistable
44,Yaulp III,0.5,You feel a surge of strength as you let forth a mighty yaulp., lets loose a mighty yaulp.,Your surge of strength fades.,CLR/41 PAL/56,,,1,18,Unresistable
45,Pacify,3,You feel your aggression subside., looks less aggressive.,,CLR/36 PAL/49 ENC/35,Frenzy Radius (1/55),Reaction Radius (1/55),100,6,Magic
46,Ultravision,5,Your eyes tingle.,'s eyes glow violet.,Your ultravision fades.,SHM/26 ENC/27 BST/51,Ultravision,,55,1.5,Unresistable
47,Calm,2.5,You feel your aggression subside., looks less aggressive.,,CLR/15 PAL/43 ENC/18,Frenzy Radius (5/50),Reaction Radius (5/50),50,5,Magic
48,Cancel Magic,3.5,You feel a bit dispelled., feels a bit dispelled.,,CLR/13 PAL/32 RNG/30 SHD/36 DRU/18 SHM/19 NEC/15 WIZ/11 MAG/10 ENC/7 BST/35,Cancel Magic (1),,30,5,Unresistable
49,Nullify Magic,4.5,You feel dispelled., feels dispelled.,,CLR/38 PAL/58 RNG/58 SHD/58 DRU/43 SHM/44 NEC/37 WIZ/34 MAG/32 ENC/28 BST/58,Cancel Magic (4),Cancel Magic (4),50,6,Magic
50,Summon Food,4,,,,CLR/8 DRU/11 SHM/6 MAG/1 BST/29,Summon Item: Summoned: Black Bread,,10,1.5,Unresistable
51,Glimpse,1.5,Your eyes feel stronger.,'s eyes gleam.,Your vision fades.,RNG/2 WIZ/2,Increase Magnification by 55% ,,5,12,Unresistable
52,Abundant Drink,4,,,,CLR/28,Summon Item: Summoned: Globe of Water,,25,1.5,Unresistable
53,Abundant Food,4,,,,CLR/33,Summon Item: Summoned: Black Bread,,25,1.5,Unresistable
54,Frost Bolt,1,You are chilled by a bolt of frost., is chilled by a bolt of frost.,,WIZ/1,Decrease Hitpoints by 8. Max: 14,,6,13,Cold
55,Cornucopia,4,,,,MAG/21,Summon Item: Summoned: Black Bread,,25,1.5,Unresistable
56,Everfount,4,,,,MAG/22,Summon Item: Summoned: Globe of Water,,25,1.5,Unresistable
57,Firestrike,4,You feel your skin ignite.,'s skin ignites.,,RNG/52 DRU/38,Decrease Hitpoints by 250. Max: 422,,138,1.5,Fire
